player_id,player_name,team,age,games_played,minutes,ppg,rpg,apg,spg,bpg,tov,fg_pct,fg3_pct,ft_pct,plus_minus,oreb,dreb,fg3a,fta,fga,off_rating,def_rating,net_rating,ts_pct,usg_pct,ast_pct,oreb_pct,dreb_pct,efg_pct,pie,salary,years_remaining,contract_type,salary_2627,salary_2728,salary_2829,salary_2930,salary_3031,guaranteed_millions,availability_pct,position,salary_millions,pct_scoring,pct_playmaking,pct_rebounding,pct_efficiency,pct_defense_steals,pct_defense_blocks,pct_availability,pct_ts,pct_usg,pct_net_rating,pct_pie,pct_off_rating,pct_def_rating,pct_defense,ts_pct_display,pie_display
1630178,Tyrese Maxey,PHI,25.0,70,38.0,28.3,4.1,6.6,1.9,0.8,2.4,0.462,0.367,0.892,1.6,0.3,3.8,8.6,6.0,21.4,114.9,113.4,1.5,0.588,0.286,0.288,0.008,0.096,0.536,0.15,37958760.0,3,Multi-Year,40.77,43.58,46.39,0.0,0.0,168.71,85.4,PG,37.96,0.992,0.957,0.604,0.449,0.984,0.849,0.778,0.594,0.95,0.626,0.951,0.724,0.524,0.786,58.8,15.0
1641708,Amen Thompson,HOU,23.0,79,37.4,18.3,7.8,5.3,1.5,0.6,2.4,0.534,0.216,0.779,4.7,3.0,4.8,1.5,4.9,13.2,117.0,110.4,6.6,0.594,0.195,0.202,0.078,0.123,0.545,0.128,9690600.0,1,Multi-Year,12.26,0.0,0.0,0.0,0.0,21.95,96.3,PG,9.69,0.876,0.906,0.929,0.519,0.948,0.754,0.948,0.634,0.642,0.869,0.861,0.828,0.768,0.823,59.4,12.8
201142,Kevin Durant,HOU,37.0,78,36.4,26.0,5.5,4.8,0.8,0.9,3.2,0.52,0.413,0.874,4.4,0.5,4.9,5.8,6.0,17.6,117.9,112.4,5.5,0.641,0.263,0.203,0.014,0.131,0.588,0.15,54708609.0,2,Multi-Year,43.9,46.1,0.0,0.0,0.0,98.61,95.1,SF,54.71,0.972,0.885,0.788,0.786,0.552,0.886,0.936,0.884,0.914,0.819,0.951,0.867,0.604,0.681,64.1,15.0
1643253,Toby Okani,MEM,24.0,6,36.2,10.0,3.5,1.0,0.7,0.5,0.5,0.357,0.29,0.125,-22.8,1.5,2.0,5.2,1.3,11.7,100.0,128.1,-28.1,0.408,0.142,0.039,0.034,0.053,0.421,0.013,1000000.0,0,Minimum,0.0,0.0,0.0,0.0,0.0,0.0,7.3,SG,1.0,0.553,0.191,0.49,0.034,0.452,0.684,0.056,0.013,0.244,0.008,0.006,0.02,0.013,0.383,40.8,1.3
1629029,Luka Dončić,LAL,27.0,64,35.8,33.5,7.7,8.3,1.6,0.5,4.0,0.476,0.366,0.78,2.9,0.6,7.1,10.8,10.1,22.8,119.4,115.6,3.8,0.616,0.368,0.387,0.019,0.194,0.563,0.188,45999660.0,3,Multi-Year,49.8,53.78,57.77,0.0,0.0,149.58,78.0,PG,46.0,1.0,0.994,0.925,0.665,0.965,0.684,0.647,0.781,1.0,0.751,0.992,0.933,0.31,0.653,61.6,18.8
1630530,Trey Murphy III,NOP,25.0,66,35.5,21.5,5.7,3.8,1.5,0.4,1.8,0.47,0.379,0.886,-2.6,1.0,4.8,8.6,3.7,15.9,113.6,117.2,-3.6,0.613,0.223,0.16,0.026,0.131,0.572,0.122,25000000.0,3,Multi-Year,27.0,29.0,31.0,0.0,0.0,112.0,80.5,SF,25.0,0.94,0.826,0.82,0.715,0.948,0.582,0.694,0.766,0.78,0.388,0.828,0.615,0.225,0.585,61.3,12.2
1627750,Jamal Murray,DEN,29.0,75,35.4,25.4,4.4,7.1,0.9,0.4,2.3,0.483,0.435,0.887,5.8,0.4,4.0,7.5,5.2,18.1,124.4,117.7,6.8,0.622,0.269,0.298,0.013,0.109,0.573,0.142,46394100.0,3,Multi-Year,50.11,53.82,57.53,0.0,0.0,207.85,91.5,PG,46.39,0.969,0.972,0.645,0.721,0.653,0.582,0.871,0.808,0.93,0.875,0.926,0.992,0.195,0.477,62.2,14.2
1630552,Jalen Johnson,ATL,24.0,72,35.2,22.5,10.3,7.9,1.2,0.4,3.4,0.489,0.352,0.788,2.6,1.4,8.9,4.7,5.3,17.1,115.5,112.3,3.2,0.581,0.264,0.325,0.038,0.241,0.537,0.161,30000000.0,4,Multi-Year,30.0,30.0,30.0,30.0,0.0,150.0,87.8,SF,30.0,0.95,0.985,0.973,0.458,0.858,0.582,0.818,0.548,0.918,0.711,0.979,0.755,0.612,0.684,58.1,16.1
1631095,Jabari Smith Jr.,HOU,22.0,77,35.1,15.8,6.9,1.9,0.7,0.9,1.4,0.449,0.363,0.775,3.4,1.4,5.5,6.3,2.7,12.7,117.0,112.0,5.0,0.569,0.179,0.073,0.039,0.152,0.54,0.093,12350392.0,5,Multi-Year,23.64,21.75,23.64,25.53,27.43,134.35,93.9,PF,12.35,0.812,0.479,0.886,0.485,0.452,0.886,0.91,0.447,0.526,0.803,0.542,0.828,0.633,0.657,56.9,9.3
1630162,Anthony Edwards,MIN,24.0,61,35.0,28.8,5.0,3.7,1.4,0.8,2.9,0.489,0.399,0.796,2.7,0.6,4.4,8.4,7.2,20.2,117.8,114.3,3.5,0.617,0.309,0.174,0.017,0.12,0.572,0.145,45550512.0,3,Multi-Year,48.92,52.3,55.67,0.0,0.0,202.45,74.4,SG,45.55,0.996,0.81,0.714,0.715,0.92,0.849,0.603,0.788,0.978,0.733,0.939,0.861,0.421,0.73,61.7,14.5
1628973,Jalen Brunson,NYK,29.0,74,35.0,26.0,3.3,6.8,0.8,0.1,2.4,0.467,0.369,0.841,4.8,0.4,2.9,7.1,5.7,19.9,120.2,114.1,6.1,0.58,0.296,0.307,0.012,0.083,0.533,0.135,34944001.0,3,Multi-Year,37.74,40.54,43.33,0.0,0.0,113.22,90.2,PG,34.94,0.972,0.969,0.44,0.423,0.552,0.133,0.852,0.54,0.965,0.842,0.889,0.952,0.435,0.373,58.0,13.5
1642845,VJ Edgecombe,PHI,20.0,75,35.0,16.0,5.6,4.2,1.4,0.5,1.8,0.438,0.354,0.818,0.8,1.6,4.0,5.6,2.4,13.7,114.8,113.9,0.9,0.54,0.196,0.172,0.044,0.111,0.51,0.092,11108880.0,3,Multi-Year,11.66,12.22,15.45,0.0,0.0,22.77,91.5,SG,11.11,0.816,0.863,0.804,0.263,0.92,0.684,0.871,0.258,0.65,0.599,0.524,0.718,0.46,0.688,54.0,9.2
203999,Nikola Jokić,DEN,31.0,65,34.8,27.7,12.9,10.7,1.4,0.8,3.7,0.569,0.38,0.831,8.5,3.0,9.9,4.5,7.4,17.4,126.1,115.3,10.8,0.67,0.289,0.458,0.089,0.27,0.618,0.213,55224526.0,2,Multi-Year,59.03,62.84,0.0,0.0,0.0,114.26,79.3,C,55.22,0.985,1.0,1.0,0.885,0.92,0.849,0.672,0.934,0.952,0.943,0.999,0.996,0.336,0.702,67.0,21.3
201935,James Harden,CLE,36.0,70,34.8,23.6,4.8,8.0,1.1,0.4,3.5,0.434,0.375,0.884,1.4,0.6,4.2,8.2,7.5,16.0,118.8,117.0,1.8,0.61,0.279,0.347,0.017,0.119,0.529,0.143,39182693.0,1,Multi-Year,42.32,0.0,0.0,0.0,0.0,0.0,53.7,PG,39.18,0.955,0.988,0.686,0.382,0.808,0.582,0.386,0.747,0.942,0.646,0.934,0.906,0.237,0.542,61.0,14.3
1631094,Paolo Banchero,ORL,23.0,72,34.7,22.2,8.4,5.2,0.7,0.6,3.1,0.459,0.305,0.775,0.0,1.2,7.2,3.8,8.2,16.0,114.0,114.1,-0.2,0.566,0.274,0.235,0.034,0.204,0.496,0.138,15334769.0,5,Multi-Year,41.5,44.82,48.14,51.46,54.78,201.25,87.8,PF,15.33,0.948,0.9,0.941,0.197,0.452,0.754,0.818,0.416,0.937,0.53,0.903,0.659,0.435,0.547,56.6,13.8
1630559,Austin Reaves,LAL,27.0,51,34.5,23.3,4.7,5.5,1.1,0.4,3.0,0.49,0.36,0.871,3.6,0.6,4.1,6.4,7.3,14.9,117.3,112.3,5.0,0.641,0.258,0.237,0.02,0.117,0.567,0.137,13937574.0,1,Multi-Year,14.9,0.0,0.0,0.0,0.0,13.94,62.2,SG,13.94,0.952,0.921,0.675,0.684,0.808,0.582,0.463,0.884,0.896,0.803,0.896,0.848,0.612,0.667,64.1,13.7
1631099,Keegan Murray,SAC,25.0,23,34.5,14.0,5.7,1.7,1.0,1.6,1.2,0.42,0.277,0.776,-7.1,1.4,4.3,4.9,2.1,13.0,107.6,118.4,-10.7,0.499,0.182,0.07,0.039,0.122,0.472,0.078,11144093.0,5,Multi-Year,24.14,26.07,28.0,29.93,31.86,151.14,28.0,PF,11.14,0.756,0.425,0.82,0.108,0.743,0.977,0.176,0.094,0.555,0.13,0.339,0.177,0.164,0.628,49.9,7.8
