team,total_payroll,total_payroll_millions,cap_millions,luxury_tax_millions,cap_space_millions,over_tax,tax_bill_millions,roster_count
ATL,184821590.0,184.82,154.65,187.9,-30.17,False,0.0,18
BKN,120906165.0,120.91,154.65,187.9,33.74,False,0.0,19
BOS,190122794.0,190.12,154.65,187.9,-35.48,True,2.23,14
CHA,152634779.0,152.63,154.65,187.9,2.01,False,0.0,15
CHI,172758647.0,172.76,154.65,187.9,-18.11,False,0.0,17
CLE,221716257.0,221.72,154.65,187.9,-67.07,True,33.82,16
DAL,137543423.0,137.54,154.65,187.9,17.1,False,0.0,17
DEN,192480589.0,192.48,154.65,187.9,-37.83,True,4.59,16
DET,167544565.0,167.54,154.65,187.9,-12.9,False,0.0,13
GSW,155882477.0,155.88,154.65,187.9,-1.24,False,0.0,19
HOU,133151909.0,133.15,154.65,187.9,21.5,False,0.0,12
IND,143845721.0,143.85,154.65,187.9,10.8,False,0.0,21
LAC,209576881.0,209.58,154.65,187.9,-54.93,True,21.68,15
LAL,234140907.0,234.14,154.65,187.9,-79.49,True,46.25,13
MEM,140214104.0,140.21,154.65,187.9,14.43,False,0.0,24
MIA,157453709.0,157.45,154.65,187.9,-2.81,False,0.0,12
MIL,160036490.0,160.04,154.65,187.9,-5.39,False,0.0,16
MIN,204749691.0,204.75,154.65,187.9,-50.1,True,16.85,12
NOP,184146711.0,184.15,154.65,187.9,-29.5,False,0.0,17
NYK,219126209.0,219.13,154.65,187.9,-64.48,True,31.23,12
OKC,181773002.0,181.77,154.65,187.9,-27.13,False,0.0,16
ORL,192342236.0,192.34,154.65,187.9,-37.7,True,4.45,15
PHI,200286473.0,200.29,154.65,187.9,-45.64,True,12.39,17
PHX,162399521.0,162.4,154.65,187.9,-7.75,False,0.0,15
POR,132684654.0,132.68,154.65,187.9,21.96,False,0.0,14
SAC,190483871.0,190.48,154.65,187.9,-35.84,True,2.59,19
SAS,154804660.0,154.8,154.65,187.9,-0.16,False,0.0,10
TOR,175840425.0,175.84,154.65,187.9,-21.19,False,0.0,10
UTA,156821576.0,156.82,154.65,187.9,-2.17,False,0.0,22
WAS,165074645.0,165.07,154.65,187.9,-10.43,False,0.0,21
