team_id,team_name,gp,w,l,w_pct,pts,reb,ast,stl,blk,tov,fg_pct,fg3_pct,ft_pct,plus_minus,off_rating,def_rating,net_rating,efg_pct,ts_pct,ast_pct,oreb_pct,dreb_pct,tov_pct,pace,pie,team,pct_pts,pct_reb,pct_ast,pct_stl,pct_blk,pct_fg_pct,pct_fg3_pct,pct_off_rating,pct_def_rating,pct_net_rating,pct_efg_pct,pct_ts_pct,pct_pace,pct_pie
1610612737,Atlanta Hawks,82,46,36,0.561,118.5,43.5,30.1,9.4,4.7,14.2,0.474,0.371,0.774,2.4,115.0,112.9,2.2,0.554,0.584,0.691,0.291,0.702,0.138,102.5,0.51,ATL,0.833,0.433,1.0,0.867,0.45,0.6,0.867,0.55,0.683,0.633,0.7,0.65,0.867,0.567
1610612738,Boston Celtics,82,56,26,0.683,114.9,46.4,24.6,7.1,5.0,12.4,0.467,0.367,0.807,7.7,120.0,111.7,8.3,0.553,0.583,0.585,0.336,0.71,0.129,95.58,0.536,BOS,0.4,0.933,0.1,0.1,0.633,0.467,0.767,0.967,0.867,0.9,0.667,0.583,0.033,0.9
1610612751,Brooklyn Nets,82,20,62,0.244,105.9,39.3,25.0,8.0,4.3,15.8,0.443,0.34,0.78,-10.0,108.2,118.2,-10.0,0.52,0.559,0.668,0.287,0.687,0.161,97.6,0.436,BKN,0.033,0.033,0.183,0.333,0.267,0.033,0.05,0.033,0.167,0.067,0.033,0.033,0.15,0.067
1610612766,Charlotte Hornets,82,44,38,0.537,116.0,46.1,26.3,7.0,4.5,15.4,0.46,0.378,0.818,4.8,118.4,113.5,4.9,0.552,0.589,0.643,0.358,0.722,0.157,97.6,0.516,CHA,0.6,0.867,0.533,0.067,0.35,0.2,0.933,0.867,0.617,0.767,0.633,0.717,0.15,0.683
1610612741,Chicago Bulls,82,31,51,0.378,116.3,45.0,28.5,7.6,5.0,15.3,0.469,0.356,0.776,-5.2,112.1,117.4,-5.3,0.547,0.58,0.672,0.279,0.708,0.148,103.22,0.48,CHI,0.65,0.733,0.8,0.267,0.633,0.567,0.417,0.2,0.267,0.267,0.567,0.483,0.933,0.317
1610612739,Cleveland Cavaliers,82,52,30,0.634,119.5,44.4,28.3,8.5,5.0,14.0,0.482,0.36,0.776,4.1,118.3,114.1,4.1,0.561,0.595,0.653,0.307,0.692,0.138,100.7,0.522,CLE,0.9,0.667,0.767,0.517,0.633,0.783,0.6,0.833,0.5,0.733,0.883,0.85,0.6,0.75
1610612742,Dallas Mavericks,82,26,56,0.317,114.1,44.7,25.3,7.5,5.2,14.5,0.466,0.344,0.755,-5.5,110.3,115.5,-5.2,0.527,0.564,0.604,0.279,0.702,0.141,102.63,0.477,DAL,0.267,0.7,0.3,0.217,0.717,0.383,0.167,0.133,0.35,0.3,0.117,0.1,0.9,0.267
1610612743,Denver Nuggets,82,54,28,0.659,122.1,44.0,29.0,6.8,4.0,12.9,0.496,0.396,0.808,5.1,121.2,116.0,5.2,0.577,0.616,0.665,0.286,0.717,0.128,99.49,0.529,DEN,1.0,0.567,0.883,0.033,0.117,0.967,1.0,1.0,0.3,0.8,1.0,1.0,0.367,0.8
1610612765,Detroit Pistons,82,60,22,0.732,117.8,45.6,27.8,10.4,6.4,15.1,0.485,0.356,0.763,8.2,117.3,108.9,8.4,0.546,0.583,0.641,0.354,0.689,0.151,99.88,0.552,DET,0.767,0.783,0.683,1.0,1.0,0.933,0.417,0.733,0.933,0.95,0.517,0.583,0.4,0.967
1610612744,Golden State Warriors,82,37,45,0.451,114.6,42.3,28.9,9.7,4.2,15.7,0.461,0.356,0.807,-0.6,113.8,114.4,-0.5,0.549,0.584,0.706,0.302,0.684,0.156,100.05,0.495,GSW,0.317,0.317,0.833,0.95,0.183,0.233,0.417,0.4,0.45,0.367,0.6,0.65,0.433,0.417
1610612745,Houston Rockets,82,52,30,0.634,115.2,48.1,25.4,8.5,5.8,15.4,0.479,0.364,0.763,5.2,117.5,112.1,5.4,0.542,0.576,0.591,0.388,0.701,0.157,96.98,0.533,HOU,0.433,1.0,0.333,0.517,0.95,0.7,0.7,0.767,0.817,0.833,0.45,0.417,0.067,0.85
1610612754,Indiana Pacers,82,19,63,0.232,112.4,41.9,27.7,7.4,4.6,14.5,0.458,0.356,0.776,-8.0,110.1,117.9,-7.8,0.533,0.568,0.678,0.263,0.695,0.142,101.78,0.465,IND,0.133,0.183,0.633,0.15,0.4,0.167,0.417,0.1,0.2,0.167,0.25,0.2,0.8,0.2
